,tconst,ordering,nconst,category,job,characters
1977708,tt0265632,6,nm0314480,writer,television series Recess,\N
1977709,tt0265632,7,nm0030651,writer,television series Recess,\N
1977710,tt0265632,8,nm0338537,writer,story,\N
2012740,tt0271271,6,nm0755551,writer,"book ""Zenon, Girl of the 21st Century""",\N
2012741,tt0271271,7,nm0093098,writer,"book ""Zenon, Girl of the 21st Century""",\N
2012742,tt0271271,8,nm0471217,writer,teleplay,\N
2030197,tt0273799,6,nm1075184,writer,story,\N
2030198,tt0273799,7,nm0077080,writer,story,\N
2030199,tt0273799,8,nm0085933,writer,story,\N
2030200,tt0273799,9,nm0007079,writer,story,\N
2030456,tt0273842,6,nm0460458,writer,written by,\N
2030457,tt0273842,7,nm0805957,writer,written by,\N
2092021,tt0283084,6,nm0044810,writer,novel,\N
2092022,tt0283084,7,nm0509340,writer,screenplay,\N
2092023,tt0283084,8,nm0366337,writer,screenplay,\N
2169961,tt0294425,6,nm0661275,writer,written by,\N
2169962,tt0294425,7,nm1047701,writer,written by,\N
2182013,tt0296251,6,nm1070424,writer,novel,\N
2182014,tt0296251,7,nm0471217,writer,teleplay,\N
2237387,tt0304669,10,nm0833828,writer,screenplay,\N
2237393,tt0304669,6,nm0722610,writer,screenplay,\N
2237394,tt0304669,7,nm0666791,writer,screenplay,\N
2237395,tt0304669,8,nm0202425,writer,screenplay,\N
2237396,tt0304669,9,nm0214036,writer,screenplay,\N
2600491,tt0361089,6,nm1498344,writer,story,\N
2600492,tt0361089,7,nm0441750,writer,screenplay,\N
2600493,tt0361089,8,nm1276664,writer,screenplay,\N
2600494,tt0361089,9,nm0076791,writer,\N,\N
2616905,tt0363771,6,nm0668754,writer,screenplay,\N
2616906,tt0363771,7,nm1321655,writer,screenplay,\N
2616907,tt0363771,8,nm1321656,writer,screenplay,\N
2616908,tt0363771,9,nm0507000,writer,book,\N
2649200,tt0368891,10,nm1469874,writer,story,\N
2649206,tt0368891,6,nm0467942,writer,screenplay,\N
2649207,tt0368891,7,nm0926727,writer,screenplay,\N
2649208,tt0368891,8,nm0926729,writer,screenplay,\N
2649209,tt0368891,9,nm0043233,writer,story,\N
2706742,tt0377770,4,nm0198557,writer,story,\N
2706743,tt0377770,5,nm0376245,writer,story,\N
2742030,tt0382932,10,nm0677037,writer,additional story material,\N
2742037,tt0382932,7,nm0135296,writer,original story by,\N
2742038,tt0382932,8,nm1486235,writer,additional story material,\N
2742039,tt0382932,9,nm1271884,writer,additional story material,\N
2861970,tt0401398,10,nm0227540,writer,characters,\N
2861977,tt0401398,7,nm1902232,writer,story by,\N
2861978,tt0401398,8,nm1713427,writer,story by,\N
2861979,tt0401398,9,nm0737241,writer,story by,\N
2922473,tt0410696,6,nm0257177,writer,story,\N
2922474,tt0410696,7,nm0257171,writer,story,\N
2922475,tt0410696,8,nm0073504,writer,teleplay,\N
3102196,tt0436339,6,nm0926727,writer,screenplay,\N
3102197,tt0436339,7,nm0926729,writer,screenplay,\N
3102198,tt0436339,8,nm0416408,writer,story,\N
3213378,tt0452598,6,nm0363958,writer,written by,\N
3213379,tt0452598,7,nm0864471,writer,characters,\N
3213380,tt0452598,8,nm0318326,writer,"novel ""Cheaper by the Dozen""",\N
3213381,tt0452598,9,nm0136950,writer,"novel ""Cheaper by the Dozen""",\N
3250615,tt0457993,7,nm0349966,writer,screenplay by,\N
3250616,tt0457993,8,nm0432612,writer,screenplay by,\N
3250617,tt0457993,9,nm0524710,writer,\N,\N
3252613,tt0458290,5,nm0000184,writer,created by,\N
3438954,tt0486761,7,nm0934897,writer,written by,\N
3438955,tt0486761,8,nm0213450,writer,characters,\N
6323899,tt0852863,5,nm0550578,writer,creator,\N
6454864,tt0870154,10,nm0326247,writer,screen story by,\N
6454870,tt0870154,6,nm0338169,writer,screenplay by,\N
6454871,tt0870154,7,nm0275629,writer,screenplay by,\N
6454872,tt0870154,8,nm0720135,writer,screenplay by,\N
6454873,tt0870154,9,nm0636358,writer,screen story by,\N
7005544,tt0945571,3,nm0682066,writer,story,\N
7005545,tt0945571,4,nm0102691,writer,story,\N
7054428,tt0952640,6,nm0900140,writer,screenplay,\N
7054429,tt0952640,7,nm0574509,writer,screenplay,\N
7054430,tt0952640,8,nm0899531,writer,screenplay,\N
7054431,tt0952640,9,nm0046564,writer,characters Alvin and the Chipmunks,\N
7123609,tt0962726,6,nm0058302,writer,written by,\N
7358642,tt0997047,6,nm0595088,writer,written by,\N
7358643,tt0997047,7,nm0933144,writer,written by,\N
7358644,tt0997047,8,nm0666791,writer,written by,\N
7358645,tt0997047,9,nm0202425,writer,written by,\N
7837757,tt1013542,6,nm0073504,writer,story by,\N
7837758,tt1013542,7,nm0304091,writer,teleplay by,\N
7837759,tt1013542,8,nm1339000,writer,series of books,\N
7837760,tt1013542,9,nm0806473,writer,teleplay by,\N
9263698,tt1053810,6,nm0291442,writer,screenplay,\N
9263699,tt1053810,7,nm2696996,writer,"book ""The Big Year: A Tale of Man, Nature, and Fowl Obsession""",\N
10109550,tt1078912,6,nm0304830,writer,written by,\N
10109551,tt1078912,7,nm0502073,writer,written by,\N
10487259,tt1090750,6,nm1115263,writer,written by,\N
11712610,tt1127884,6,nm0689954,writer,character based on the series created by,\N
11712611,tt1127884,7,nm0180902,writer,character based on the series created by,\N
11712617,tt1127884,8,nm0639434,writer,character based on the series created by,\N
12796551,tt1159961,5,nm1344116,writer,screenplay,\N
13070134,tt11681250,6,nm2876788,writer,screenplay by,\N
13070135,tt11681250,7,nm2602433,writer,screenplay by,\N
14199177,tt1204342,6,nm0831557,writer,written by,\N
14199178,tt1204342,7,nm0001345,writer,based on,\N
16765125,tt1294226,6,nm0817023,writer,screenplay,\N
16765126,tt1294226,7,nm3491486,writer,screenplay,\N
17860227,tt1334106,10,nm0918083,writer,based on the marvel comics by,\N
17860253,tt1334106,6,nm0973233,writer,\N,\N
17860254,tt1334106,7,nm1129269,writer,writing,\N
17860255,tt1334106,8,nm0859471,writer,based on the marvel comics by,\N
17860256,tt1334106,9,nm1079460,writer,based on the marvel comics by,\N
21209848,tt14602326,10,nm0000370,writer,based on his Haunted Mansion,\N
21209854,tt14602326,6,nm0057321,writer,teleplay by,\N
21209855,tt14602326,7,nm8566357,writer,teleplay by,\N
21209856,tt14602326,8,nm0507355,writer,story by,\N
21209857,tt14602326,9,nm0001345,writer,based on his Muppets,\N
22002023,tt1485796,6,nm0081081,writer,screenplay by,\N
22002024,tt1485796,7,nm0174374,writer,screenplay by,\N
24325620,tt1571313,5,nm0189137,writer,creator,\N
24325629,tt1571313,6,nm0389668,writer,creator,\N
24954076,tt1604171,6,nm2251854,writer,written by,\N
27323131,tt1790809,10,nm0064181,writer,based on characters created by,\N
27323138,tt1790809,7,nm0622288,writer,screenplay by,\N
27323139,tt1790809,8,nm0744429,writer,story by,\N
27323140,tt1790809,9,nm0254645,writer,based on characters created by,\N
28052944,tt1843230,5,nm0395271,writer,created by,\N
28052945,tt1843230,6,nm0457736,writer,created by,\N
28083757,tt1846442,6,nm0578850,writer,teleplay by,\N
28083758,tt1846442,7,nm0115114,writer,teleplay by,\N
28083759,tt1846442,8,nm4671079,writer,story by,\N
28285529,tt1865769,5,nm0250518,writer,created by,\N
28285530,tt1865769,6,nm0048832,writer,created by,\N
28285531,tt1865769,7,nm0891291,writer,created by,\N
30865568,tt2140373,6,nm0545150,writer,written by,\N
30865569,tt2140373,7,nm0810055,writer,written by,\N
31411368,tt2252938,5,nm0566833,writer,creator,\N
33463452,tt2980706,6,nm0397377,writer,story and screenplay by,\N
33693391,tt3089630,6,nm1379619,writer,based on the novel by,\N
33693392,tt3089630,7,nm0566100,writer,screenplay by,\N
33693393,tt3089630,8,nm0574217,writer,screenplay by,\N
34010034,tt3228774,10,nm1587813,writer,story by,\N
34010040,tt3228774,6,nm1401416,writer,screenplay by,\N
34010041,tt3228774,7,nm1110111,writer,screenplay by,\N
34010042,tt3228774,8,nm0112459,writer,story by,\N
34010043,tt3228774,9,nm0545150,writer,story by,\N
37565229,tt4777008,10,nm0052520,writer,"based on: characters from Disney's ""Sleeping Beauty"", story",\N
37565235,tt4777008,6,nm0941314,writer,written by,\N
37565236,tt4777008,7,nm1406764,writer,written by,\N
37565237,tt4777008,8,nm2873116,writer,written by,\N
37565238,tt4777008,9,nm0674518,writer,"based on: characters from ""La Belle Au Bois Dormant"" written by",\N
37707233,tt4846340,6,nm2284377,writer,screenplay by,\N
37707234,tt4846340,7,nm7446421,writer,based on the book by,\N
38261410,tt5104604,6,nm0178910,writer,story by,\N
38261411,tt5104604,7,nm0005403,writer,story by,\N
38261412,tt5104604,8,nm1440081,writer,story by,\N
43080434,tt7146812,6,nm1291392,writer,original story by,\N
43080435,tt7146812,7,nm3268751,writer,original story by,\N
46226380,tt8336340,5,nm2608366,writer,developed by,\N
46226381,tt8336340,6,nm1396048,writer,created by,\N
46226382,tt8336340,7,nm1848009,writer,developed by,\N
48048964,tt8980868,6,nm2689816,writer,story,\N
48048965,tt8980868,7,nm2394516,writer,story,\N
847070,tt0098999,6,nm2832163,writer,Subtitles,\N
847071,tt0098999,7,nm0434318,writer,dialogue,\N
847072,tt0098999,8,nm0765454,writer,screenplay,\N
873732,tt0102065,7,nm0399737,writer,characters,\N
873733,tt0102065,8,nm0192090,writer,story,\N
873734,tt0102065,9,nm0630012,writer,screenplay,\N
879557,tt0102744,6,nm0384398,writer,written by,\N
918590,tt0107311,6,nm0445474,writer,screenplay,\N
918591,tt0107311,7,nm0659238,writer,dialogue,\N
925745,tt0108162,6,nm0505615,writer,novel,\N
925746,tt0108162,7,nm0000390,writer,screenplay,\N
999846,tt0116996,10,nm0766921,writer,trading card series,\N
999852,tt0116996,6,nm0114083,writer,trading card series,\N
999853,tt0116996,7,nm0312481,writer,trading card series,\N
999854,tt0116996,8,nm0940071,writer,trading card series,\N
999855,tt0116996,9,nm0694035,writer,trading card series,\N
1006319,tt0117765,6,nm0382437,writer,book,\N
1013106,tt0118571,6,nm0549256,writer,written by,\N
1122440,tt0134084,6,nm0932078,writer,characters,\N
1122441,tt0134084,7,nm0472567,writer,written by,\N
1437163,tt0181739,7,nm0405190,writer,written by,\N
1461851,tt0185183,6,nm0541720,writer,screenplay,\N
1461852,tt0185183,7,nm0788526,writer,screenplay,\N
1461853,tt0185183,8,nm0399196,writer,novel,\N
1498397,tt0190332,6,nm0910924,writer,screenplay by,\N
1498398,tt0190332,7,nm0770005,writer,screenplay by,\N
1498399,tt0190332,8,nm0874631,writer,screenplay by,\N
1498400,tt0190332,9,nm0238893,writer,based on the book by,\N
2175054,tt0295178,6,nm0567112,writer,written by,\N
2515244,tt0347436,5,nm0101991,writer,screenplay,\N
2515245,tt0347436,6,nm1622375,writer,adaptation,\N
2515246,tt0347436,7,nm0866058,writer,novel,\N
2652749,tt0369436,6,nm0020820,writer,screenplay,\N
2652750,tt0369436,7,nm0933128,writer,screenplay,\N
