,title_id,title,type,num_type
13578,tt9251798,Ragnarok,"International TV Shows, TV Action & Adventure, TV Dramas",3
13600,tt1826603,Asmaa,"Dramas, International Movies",2
13938,tt2473602,Get on Up,"Dramas, Music & Musicals",2
14134,tt10303430,Sightless,Thrillers,1
14311,tt1843230,Once Upon a Time,"International TV Shows, Romantic TV Shows, TV Dramas",3
14351,tt0808151,Angels & Demons,Thrillers,1
14362,tt0102744,Quigley Down Under,Action & Adventure,1
14438,tt0239195,Survivor,Reality TV,1
14475,tt13318052,Midnight at the Magnolia,"Comedies, Romantic Movies",2
14478,tt12411074,Paranormal,"International TV Shows, TV Dramas, TV Horror",3
14549,tt1648186,Fisherman's Friends,"Comedies, Dramas, Music & Musicals",3
14713,tt3532628,Black,"Action & Adventure, International Movies",2
14784,tt9820352,Villain,Dramas,1
15165,tt1552211,The Last Days of American Crime,"Action & Adventure, Dramas, Independent Movies",3
15173,tt3316796,Alone,Reality TV,1
15210,tt10627720,Ne Zha,"Action & Adventure, Comedies, International Movies",3
15330,tt9109976,Psycho,"Horror Movies, International Movies, Thrillers",3
15353,tt0893507,Beynelmilel,"Comedies, Dramas, International Movies",3
15431,tt6259380,Code 8,"Action & Adventure, Independent Movies, International Movies",3
15456,tt0098999,Agneepath,"Dramas, International Movies",2
15461,tt1185420,Dostana,"Comedies, Dramas, International Movies",3
15475,tt0172684,Kuch Kuch Hota Hai,"Comedies, Dramas, International Movies",3
15532,tt8771910,Self Made: Inspired by the Life of Madam C.J. Walker,TV Dramas,1
15535,tt8741648,The Letter for the King,"British TV Shows, International TV Shows, TV Action & Adventure",3
15586,tt0456149,The Death of Mr. Lazarescu,"Dramas, International Movies",2
15760,tt9760504,NiNoKuni,"Action & Adventure, Anime Features, Children & Family Movies",3
15874,tt0461936,Don,"Action & Adventure, International Movies",2
15987,tt8688814,The Dragon Prince,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3
16031,tt1315981,A Single Man,"Dramas, Independent Movies, LGBTQ Movies",3
16164,tt3565486,Black Money Love,"Crime TV Shows, International TV Shows, TV Dramas",3
16225,tt8110640,In the Shadow of the Moon,"Dramas, Sci-Fi & Fantasy, Thrillers",3
16478,tt3114390,Kill la Kill,"Anime Series, International TV Shows",2
16599,tt7605074,The Wandering Earth,"International Movies, Sci-Fi & Fantasy",2
16671,tt7315484,The Silence,"Horror Movies, Thrillers",2
16837,tt5773986,Studio 54,Documentaries,1
16913,tt9425132,Conversations with a Killer: The Ted Bundy Tapes,"Crime TV Shows, Docuseries",2
16955,tt0100029,Lionheart,"Comedies, Dramas, Independent Movies",3
16964,tt6595896,Pokémon the Movie: I Choose You!,"Anime Features, Children & Family Movies",2
17033,tt2172584,Maps to the Stars,"Comedies, Dramas",2
17049,tt0914376,The Innocent Man,"Crime TV Shows, Docuseries",2
17101,tt6892462,The World Is Yours,"Action & Adventure, Comedies, International Movies",3
17216,tt7472352,Shirkers,Documentaries,1
17323,tt2186933,Luv Shuv Tey Chicken Khurana,"Comedies, International Movies, Romantic Movies",3
17422,tt6522546,Spyder,"Action & Adventure, International Movies",2
17433,tt2660806,Mom,"Dramas, International Movies, Thrillers",3
17726,tt5197860,Tabula Rasa,"International TV Shows, TV Dramas, TV Mysteries",3
17798,tt3169770,Retribution,"British TV Shows, Crime TV Shows, International TV Shows",3
17948,tt6214928,1922,"Dramas, Thrillers",2
17950,tt7214842,One of Us,Documentaries,1
18190,tt5294198,Catfight,"Comedies, Independent Movies",2
18256,tt5946128,Dear Zindagi,"Comedies, Dramas, International Movies",3
18273,tt4631532,Our Lovers,"Comedies, Dramas, International Movies",3
18311,tt2577192,Howards End,"Classic Movies, Dramas, Independent Movies",3
18362,tt3544734,Zapped,"Children & Family Movies, Comedies",2
18382,tt4273292,Under the Shadow,"Horror Movies, International Movies, Thrillers",3
18511,tt2094064,Much Ado About Nothing,"Dramas, Independent Movies, International Movies",3
18630,tt3824412,Results,"Comedies, Independent Movies",2
18674,tt1582457,The Borgias,TV Dramas,1
18700,tt0478087,21,Dramas,1
18764,tt5189894,68 Kill,"Comedies, Independent Movies, Thrillers",3
18967,tt4048668,Band of Robbers,"Action & Adventure, Comedies, Independent Movies",3
19209,tt8663516,Child's Play,"Cult Movies, Horror Movies",2
19284,tt0190332,"Crouching Tiger, Hidden Dragon","Action & Adventure, International Movies, Romantic Movies",3
19374,tt0119008,Donnie Brasco,"Dramas, Thrillers",2
19472,tt1528406,Fairy Tail,"Anime Series, International TV Shows",2
19531,tt0369436,Four Christmases,"Comedies, Romantic Movies",2
19546,tt3352390,Friend Request,"Horror Movies, International Movies",2
19559,tt0436339,G-Force,"Children & Family Movies, Comedies",2
19703,tt9906260,Hero,"Action & Adventure, International Movies",2
19725,tt4419364,Holidays,"Comedies, Horror Movies",2
19777,tt4647900,I Am Bolt,"Documentaries, Sports Movies",2
19798,tt0780567,Imagine That,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",3
19880,tt5639446,Jonathan,"Dramas, Independent Movies, Sci-Fi & Fantasy",3
19924,tt0107311,Khalnayak,"Action & Adventure, Dramas, International Movies",3
19938,tt0266697,Kill Bill: Vol. 1,Action & Adventure,1
19958,tt3398976,Knights of Sidonia,"Anime Series, International TV Shows",2
19964,tt1613750,Kon-Tiki,"Action & Adventure, Dramas, International Movies",3
19980,tt0373074,Kung Fu Hustle,"Action & Adventure, Comedies, Cult Movies",3
20022,tt2467046,Left Behind,"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy",3
20023,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Children & Family Movies,1
20056,tt4919484,Little Men,"Dramas, Independent Movies",2
20286,tt5111874,My Scientology Movie,Documentaries,1
20294,tt0457510,Nacho Libre,"Comedies, Sports Movies",2
20305,tt0368891,National Treasure,"Action & Adventure, Children & Family Movies",2
20431,tt0431308,P.S. I Love You,"Dramas, Romantic Movies",2
20469,tt0457433,Perfect Stranger,Thrillers,1
20572,tt6927152,Rampant,"Action & Adventure, Horror Movies, International Movies",3
20690,tt2140373,Saving Mr. Banks,"Comedies, Dramas",2
20703,tt0134084,Scream 3,Horror Movies,1
20780,tt0108162,Sliver,Thrillers,1
20813,tt2101441,Spring Breakers,"Comedies, Cult Movies, Dramas",3
20847,tt0117765,Striptease,"Comedies, Dramas",2
20941,tt5253282,The Bachelors,Dramas,1
20961,tt8089526,The Box,"Sci-Fi & Fantasy, Thrillers",2
20973,tt4030600,The Bye Bye Man,"Horror Movies, Thrillers",2
20994,tt4210080,The Confirmation,"Comedies, Dramas, Independent Movies",3
21025,tt0377818,The Dukes of Hazzard,"Action & Adventure, Comedies",2
21106,tt1058017,The Invention of Lying,"Comedies, Romantic Movies",2
21118,tt1504320,The King's Speech,"Dramas, International Movies",2
21135,tt0097757,The Little Mermaid,"Children & Family Movies, Dramas",2
21146,tt0347436,The Lord of the Rings: The Two Towers,"Action & Adventure, Sci-Fi & Fantasy",2
21171,tt1204342,The Muppets,"Children & Family Movies, Comedies",2
21197,tt5126922,The Pirates of Somalia,Dramas,1
21233,tt1265990,The Roommate,Thrillers,1
21245,tt3848888,The Shaukeens,"Comedies, International Movies, Music & Musicals",3
21385,tt0098936,Twin Peaks,"Classic & Cult TV, Crime TV Shows, TV Dramas",3
21550,tt2100546,Ice Age: A Mammoth Christmas,"Animation, Comedy, Family",3
21572,tt0870154,Jungle Cruise,"Action-Adventure, Comedy, Family",3
21605,tt0111419,Thumbelina,"Animation, Family, Fantasy",3
21618,tt14602326,Muppets Haunted Mansion,"Comedy, Family, Musical",3
21628,tt0952640,Alvin and the Chipmunks,"Animation, Comedy, Family",3
21662,tt0128890,Pepper Ann,"Animation, Comedy, Coming of Age",3
21668,tt3228774,Cruella,"Crime, Drama",2
21754,tt14062858,Us Again,"Animation, Dance, Family",3
21776,tt2252938,Wander Over Yonder,Comedy,1
21782,tt0145487,Spider-Man,"Action-Adventure, Animation, Kids",3
21816,tt1053810,The Big Year,"Animals & Nature, Comedy",2
21840,tt1571313,Pair of Kings,"Action-Adventure, Comedy, Coming of Age",3
21844,tt0452598,Cheaper by the Dozen 2,"Comedy, Family",2
21861,tt5104604,Isle of Dogs,"Action-Adventure, Animation, Comedy",3
21876,tt0273799,Max Keeble's Big Move,"Comedy, Family",2
21892,tt0118617,Anastasia,"Animation, Family, Fantasy",3
21893,tt11681250,Godmothered,"Comedy, Family, Fantasy",3
21908,tt2980706,Planes: Fire & Rescue,"Action-Adventure, Animation, Comedy",3
21913,tt0104431,Home Alone 2: Lost in New York,"Comedy, Family",2
21921,tt0119718,Mr. Magoo,"Action-Adventure, Comedy, Crime",3
21945,tt0113862,Mr. Holland's Opus,"Drama, Music",2
21947,tt4846340,Hidden Figures,"Biographical, Drama, Family",3
21956,tt0120631,Ever After: A Cinderella Story,"Drama, Romance",2
21960,tt1843230,Once Upon a Time,"Action-Adventure, Fantasy, Soap Opera / Melodrama",3
21964,tt0109520,D2: The Mighty Ducks,"Comedy, Drama, Family",3
21985,tt1485796,The Greatest Showman,"Biographical, Drama, Family",3
21997,tt12607910,Black Is King,"Dance, Music, Musical",3
22009,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,"Action-Adventure, Fantasy",2
22032,tt0112499,The Big Green,"Comedy, Family, Sports",3
22034,tt0114924,While You Were Sleeping,"Comedy, Drama, Romance",3
22050,tt3089630,Artemis Fowl,"Action-Adventure, Crime, Fantasy",3
22077,tt4777008,Maleficent: Mistress of Evil,"Action-Adventure, Family, Fantasy",3
22087,tt0107131,Homeward Bound: The Incredible Journey,"Action-Adventure, Animals & Nature, Family",3
22099,tt0368891,National Treasure,"Action-Adventure, Mystery, Thriller",3
22131,tt7146812,Onward,"Action-Adventure, Animation, Comedy",3
22143,tt1604171,Prom,"Comedy, Coming of Age, Drama",3
22144,tt1294226,The Last Song,"Coming of Age, Drama, Music",3
