,tconst,ordering,nconst,category,job,characters
2675398,tt0373074,10,nm0939296,composer,\N,\N
2675399,tt0373074,1,nm0159507,actor,\N,"[""Sing""]"
2675400,tt0373074,2,nm0950757,actor,\N,"[""Landlord""]"
2675401,tt0373074,3,nm1228408,actress,\N,"[""Landlady""]"
2675402,tt0373074,4,nm0398760,actor,\N,"[""The Beast""]"
2675403,tt0373074,5,nm0874683,writer,written by,\N
2675404,tt0373074,6,nm0403230,writer,written by,\N
2675405,tt0373074,7,nm0151013,writer,written by,\N
2675406,tt0373074,8,nm0161045,producer,producer,\N
2675407,tt0373074,9,nm0311508,producer,producer,\N
2707029,tt0377818,10,nm0056550,composer,\N,\N
2707030,tt0377818,1,nm0005405,actor,\N,"[""Bo Duke""]"
2707031,tt0377818,2,nm0424216,actor,\N,"[""Luke Duke""]"
2707032,tt0377818,3,nm0005433,actress,\N,"[""Daisy Duke""]"
2707033,tt0377818,4,nm1445490,actress,\N,"[""Laurie Pullman""]"
2707034,tt0377818,5,nm0151540,director,\N,\N
2707035,tt0377818,6,nm0907296,writer,based on characters created by,\N
2707036,tt0377818,7,nm1016088,writer,screenplay by,\N
2707037,tt0377818,8,nm1627554,writer,story by,\N
2707038,tt0377818,9,nm0314088,producer,producer,\N
3067503,tt0431308,10,nm0467255,producer,producer,\N
3067504,tt0431308,1,nm0005476,actress,\N,"[""Holly""]"
3067505,tt0431308,2,nm0124930,actor,\N,"[""Gerry""]"
3067506,tt0431308,3,nm0001065,actor,\N,"[""Daniel""]"
3067507,tt0431308,4,nm0001435,actress,\N,"[""Denise""]"
3067508,tt0431308,5,nm0481418,director,\N,\N
3067509,tt0431308,6,nm0737216,writer,screenplay,\N
3067510,tt0431308,7,nm1754499,writer,novel,\N
3067511,tt0431308,8,nm0277704,producer,producer,\N
3067512,tt0431308,9,nm0424663,producer,producer,\N
3237645,tt0456149,10,nm1108647,cinematographer,\N,\N
3237646,tt0456149,1,nm0025557,actor,\N,"[""Sandu Sterian""]"
3237647,tt0456149,2,nm1715144,actress,\N,"[""Mariana""]"
3237648,tt0456149,3,nm1621287,actress,\N,"[""Dr. Zamfir""]"
3237649,tt0456149,4,nm1890655,actor,\N,"[""Ambulantier""]"
3237650,tt0456149,5,nm1090998,director,\N,\N
3237651,tt0456149,6,nm1146102,writer,\N,\N
3237652,tt0456149,7,nm2097361,producer,producer,\N
3237653,tt0456149,8,nm2118162,producer,line producer,\N
3237654,tt0456149,9,nm2014564,composer,\N,\N
3246644,tt0457433,10,nm0003712,cinematographer,director of photography,\N
3246645,tt0457433,1,nm0000932,actress,\N,"[""Rowena Price""]"
3246646,tt0457433,2,nm0000246,actor,\N,"[""Harrison Hill""]"
3246647,tt0457433,3,nm0000610,actor,\N,"[""Miles Haley""]"
3246648,tt0457433,4,nm0692466,actor,\N,"[""Narron""]"
3246649,tt0457433,5,nm0001226,director,\N,\N
3246650,tt0457433,6,nm0464548,writer,screenplay,\N
3246651,tt0457433,7,nm0092578,writer,story,\N
3246652,tt0457433,8,nm0326063,producer,producer,\N
3246653,tt0457433,9,nm0684620,composer,\N,\N
3281358,tt0462482,10,nm0943046,editor,\N,\N
3281359,tt0462482,1,nm5223745,actor,\N,"[""Ronald Greaver""]"
3281360,tt0462482,2,nm1222265,actress,\N,"[""Kathy Most""]"
3281361,tt0462482,3,nm0447087,actress,\N,"[""Nurse Greaver""]"
3281362,tt0462482,4,nm0804055,actor,\N,"[""Ray Jacobs""]"
3281363,tt0462482,5,nm0533713,director,\N,\N
3281364,tt0462482,6,nm0455590,writer,written by,\N
3281365,tt0462482,7,nm0689780,producer,executive producer,\N
3281366,tt0462482,8,nm0119586,composer,\N,\N
3281367,tt0462482,9,nm0123394,cinematographer,\N,\N
3385096,tt0478087,10,nm0006894,producer,producer,\N
3385097,tt0478087,1,nm0836343,actor,\N,"[""Ben""]"
3385098,tt0478087,2,nm0098378,actress,\N,"[""Jill""]"
3385099,tt0478087,3,nm0000228,actor,\N,"[""Micky Rosa""]"
3385100,tt0478087,4,nm1683094,actor,\N,"[""Choi""]"
3385101,tt0478087,5,nm0525659,director,\N,\N
3385102,tt0478087,6,nm13204541,writer,screenplay,\N
3385103,tt0478087,7,nm1615610,writer,screenplay,\N
3385104,tt0478087,8,nm0583826,writer,"book ""Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions""",\N
3385105,tt0478087,9,nm0116232,producer,producer,\N
5801903,tt0780567,10,nm0511979,cinematographer,\N,\N
5801904,tt0780567,1,nm0000552,actor,\N,"[""Evan Danielson""]"
5801905,tt0780567,2,nm0002006,actor,\N,"[""Johnny Whitefeather""]"
5801906,tt0780567,3,nm2780578,actress,\N,"[""Olivia Danielson""]"
5801907,tt0780567,4,nm0001074,actor,\N,"[""Tom Stevens""]"
5801908,tt0780567,5,nm0456732,director,\N,\N
5801909,tt0780567,6,nm0004412,writer,written by,\N
5801910,tt0780567,7,nm0558533,writer,written by,\N
5801911,tt0780567,8,nm0225146,producer,producer,\N
5801912,tt0780567,9,nm0006183,composer,\N,\N
6023316,tt0811066,10,nm0438506,producer,producer,\N
6023317,tt0811066,1,nm0000821,actor,\N,"[""Dhingra""]"
6023318,tt0811066,2,nm0004569,actor,\N,"[""A.A. Khan""]"
6023319,tt0811066,3,nm0792911,actor,\N,"[""Kavi Raj Patil""]"
6023320,tt0811066,4,nm0451170,actor,\N,"[""Javed""]"
6023321,tt0811066,5,nm0482232,director,\N,\N
6023322,tt0811066,6,nm1330994,writer,\N,\N
6023323,tt0811066,7,nm2632735,writer,Dialogue,\N
6023324,tt0811066,8,nm0348495,producer,producer,\N
6023325,tt0811066,9,nm0438471,producer,producer,\N
6624926,tt0893507,10,nm5386173,composer,\N,\N
6624927,tt0893507,1,nm0059941,actor,\N,"[""Abuzer Yayladali""]"
6624928,tt0893507,2,nm1031569,actress,\N,"[""G眉lendam Yayladali""]"
6624929,tt0893507,3,nm2443020,actor,\N,"[""Haydar Arikan""]"
6624930,tt0893507,4,nm0702676,actor,\N,"[""Tekin Yayladali""]"
6624931,tt0893507,5,nm1021563,director,\N,\N
6624932,tt0893507,6,nm2438657,director,\N,\N
6624933,tt0893507,7,nm0015528,producer,producer,\N
6624934,tt0893507,8,nm8847729,producer,producer,\N
6624935,tt0893507,9,nm2366911,composer,\N,\N
6783023,tt0914376,10,nm10284779,actress,\N,"[""Carol""]"
6783024,tt0914376,1,nm1573698,actress,\N,"[""Peggy Carter""]"
6783025,tt0914376,2,nm8615362,actress,\N,"[""Glenna""]"
6783026,tt0914376,3,nm9609032,actor,\N,"[""Tommy Ward""]"
6783027,tt0914376,4,nm5035040,actor,\N,"[""Interrogator 1""]"
6783028,tt0914376,5,nm1895871,writer,developed by,\N
6783029,tt0914376,6,nm1943168,writer,developed by,\N
6783030,tt0914376,7,nm8637604,actor,\N,"[""Gravedigger 2""]"
6783031,tt0914376,8,nm8931297,actor,\N,"[""Karl Fontenot""]"
6783032,tt0914376,9,nm7429539,actress,\N,"[""Kim Marks""]"
8401715,tt10303430,10,nm4176770,composer,\N,\N
8401716,tt10303430,1,nm2727714,actor,\N,"[""Nurse Omar""]"
8401717,tt10303430,2,nm6663708,actress,\N,"[""Ellen""]"
8401718,tt10303430,3,nm4337039,actor,\N,"[""Clayton""]"
8401719,tt10303430,4,nm0455058,actor,\N,"[""Doctor Katsuro""]"
8401720,tt10303430,5,nm3628233,director,\N,\N
8401721,tt10303430,6,nm0070238,producer,producer,\N
8401722,tt10303430,7,nm0613611,producer,producer,\N
8401723,tt10303430,8,nm0859302,producer,producer,\N
8401724,tt10303430,9,nm2837835,producer,producer,\N
9413324,tt1058017,10,nm0005891,cinematographer,director of photography,\N
9413325,tt1058017,1,nm0315041,actor,\N,"[""Mark Bellison""]"
9413328,tt1058017,2,nm0004950,actress,\N,"[""Anna McDoogles""]"
9413329,tt1058017,3,nm1706767,actor,\N,"[""Frank""]"
9413330,tt1058017,4,nm0127373,actor,\N,"[""Greg""]"
9413331,tt1058017,5,nm2816668,director,\N,\N
9413342,tt1058017,6,nm1469853,producer,producer,\N
9413343,tt1058017,7,nm0643553,producer,producer,\N
9413344,tt1058017,8,nm0643555,producer,producer,\N
9413345,tt1058017,9,nm0040217,composer,\N,\N
9577319,tt10627720,10,nm10939418,actor,\N,"[""Shengongbao""]"
9577320,tt10627720,1,nm10939413,actress,\N,"[""Ertong Nezha""]"
9577321,tt10627720,2,nm10939414,actor,\N,"[""Shaonian Nezha""]"
9577322,tt10627720,3,nm10939415,actor,\N,"[""Aobing""]"
9577323,tt10627720,4,nm10939416,actor,\N,"[""Lijing""]"
9577324,tt10627720,5,nm1169562,director,\N,\N
9577325,tt10627720,6,nm10847687,writer,story,\N
9577326,tt10627720,7,nm7712140,composer,\N,\N
9577327,tt10627720,8,nm10939417,actress,\N,"[""Yinfuren""]"
9577328,tt10627720,9,nm4369817,actor,\N,"[""Taiyi zhenren""]"
14648683,tt1219342,10,nm0386595,composer,\N,\N
14648684,tt1219342,1,nm0836343,actor,\N,"[""Soren""]"
14648685,tt1219342,2,nm0915989,actor,\N,"[""Noctus"",""Grimble""]"
14648686,tt1219342,3,nm0920992,actor,\N,"[""Digger""]"
