,tconst,ordering,nconst,category,job,characters
1013487,tt0118617,5,nm0089940,director,\N,\N
1013488,tt0118617,6,nm0325776,director,\N,\N
1013489,tt0118617,7,nm0310319,writer,screenplay by,\N
1013490,tt0118617,8,nm0333949,writer,screenplay by,\N
1013491,tt0118617,9,nm0879318,writer,screenplay by,\N
1023068,tt0119718,10,nm0155598,cinematographer,director of photography,\N
1023069,tt0119718,1,nm0000558,actor,\N,"[""Mr. Magoo""]"
1023070,tt0119718,2,nm0001488,actress,\N,"[""Luanne""]"
1023071,tt0119718,3,nm0444832,actor,\N,"[""Waldo""]"
1023072,tt0119718,4,nm0157915,actor,\N,"[""Bob Morgan""]"
1023073,tt0119718,5,nm0867262,director,\N,\N
1023074,tt0119718,6,nm0698493,writer,written by,\N
1023075,tt0119718,7,nm0792624,writer,written by,\N
1023076,tt0119718,8,nm0617147,producer,producer,\N
1023077,tt0119718,9,nm0851699,composer,\N,\N
1028759,tt0120363,10,nm0398763,writer,screenplay by,\N
1028760,tt0120363,1,nm0000158,actor,\N,"[""Woody""]"
1028761,tt0120363,2,nm0000741,actor,\N,"[""Buzz Lightyear""]"
1028762,tt0120363,3,nm0000349,actress,\N,"[""Jessie""]"
1028763,tt0120363,4,nm0001288,actor,\N,"[""Prospector""]"
1028764,tt0120363,5,nm0005124,director,\N,\N
1028765,tt0120363,6,nm0105169,director,co-director,\N
1028766,tt0120363,7,nm0881279,director,co-director,\N
1028767,tt0120363,8,nm0230032,writer,original story by,\N
1028768,tt0120363,9,nm0004056,writer,original story by,\N
1031034,tt0120631,10,nm0872058,producer,producer,\N
1031035,tt0120631,1,nm0000106,actress,\N,"[""Danielle""]"
1031036,tt0120631,2,nm0001378,actress,\N,"[""Rodmilla""]"
1031037,tt0120631,3,nm0779084,actor,\N,"[""Prince Henry""]"
1031038,tt0120631,4,nm0324009,actor,\N,"[""Leonardo""]"
1031039,tt0120631,5,nm0855035,director,\N,\N
1031040,tt0120631,6,nm0335666,writer,screenplay,\N
1031041,tt0120631,7,nm0663002,writer,screenplay,\N
1031042,tt0120631,8,nm0674518,writer,\N,\N
1031043,tt0120631,9,nm0814969,producer,producer,\N
1091040,tt0128890,10,nm0838588,actress,\N,"[""Tessa James"",""Vanessa James"",""Additional Voices""]"
1091041,tt0128890,1,nm0001849,actress,\N,"[""Pepper Ann"",""Pepper Ann Pearson"",""Additional Voices""]"
1091042,tt0128890,2,nm0177528,actor,\N,"[""Milo Kamalani"",""Milo"",""Baron Von Gus""]"
1091043,tt0128890,3,nm0934589,actress,\N,"[""Mom"",""Lydia Pearson"",""Sherrie Spleen""]"
1091044,tt0128890,4,nm0507051,actress,\N,"[""Nicky Little"",""Nicky""]"
1091045,tt0128890,5,nm0741697,writer,created by,\N
1091046,tt0128890,6,nm0071818,actor,\N,"[""Additional Voices"",""Dieter Liederhosen"",""Craig Bean""]"
1091047,tt0128890,7,nm0781899,actress,\N,"[""Moose Pearson"",""Moose"",""Additional Voices""]"
1091048,tt0128890,8,nm0815718,actress,\N,"[""Cissy Rooney"",""Additional Voices"",""Cissy""]"
1091049,tt0128890,9,nm0001883,actress,\N,"[""Trinket St. Blaire"",""Trinket St. Blair"",""Trinket""]"
1101187,tt0130623,10,nm0338396,writer,based on an earlier screenplay by,\N
1101188,tt0130623,1,nm0000665,actor,\N,"[""Aladar""]"
1101189,tt0130623,2,nm0000523,actress,\N,"[""Neera""]"
1101190,tt0130623,3,nm0942787,actor,\N,"[""Kron""]"
1101191,tt0130623,4,nm0005569,actress,\N,"[""Plio""]"
1101192,tt0130623,5,nm0500343,director,\N,\N
1101193,tt0130623,6,nm0957798,director,\N,\N
1101194,tt0130623,7,nm0258059,writer,story,\N
1101195,tt0130623,8,nm0365666,writer,story,\N
1101196,tt0130623,9,nm0414608,writer,story,\N
1210440,tt0147800,10,nm0006099,composer,\N,\N
1210441,tt0147800,1,nm0005132,actor,\N,"[""Patrick Verona""]"
1210442,tt0147800,2,nm0005466,actress,\N,"[""Kat Stratford""]"
1210443,tt0147800,3,nm0330687,actor,\N,"[""Cameron James""]"
1210444,tt0147800,4,nm0646351,actress,\N,"[""Bianca Stratford""]"
1210445,tt0147800,5,nm0432627,director,\N,\N
1210446,tt0147800,6,nm0527581,writer,written by,\N
1210447,tt0147800,7,nm0809006,writer,written by,\N
1210448,tt0147800,8,nm0000636,writer,"play ""The Taming of the Shrew""",\N
1210449,tt0147800,9,nm0493662,producer,producer,\N
1638788,tt0211181,10,nm0925276,writer,screenplay,\N
1638789,tt0211181,1,nm0000335,actress,\N,"[""Cruella de Vil""]"
1638790,tt0211181,2,nm0000367,actor,\N,"[""Jean-Pierre Le Pelt""]"
1638791,tt0211181,3,nm0344435,actor,\N,"[""Kevin Sheperd""]"
1638792,tt0211181,4,nm0262521,actress,\N,"[""Chloe Simon""]"
1638793,tt0211181,5,nm0510674,director,\N,\N
1638794,tt0211181,6,nm0807977,writer,"novel ""The One Hundred and One Dalmatians""",\N
1638795,tt0211181,7,nm0118649,writer,story,\N
1638796,tt0211181,8,nm0716391,writer,story,\N
1638797,tt0211181,9,nm0879318,writer,screenplay,\N
1751951,tt0230011,10,nm0951392,writer,story by,\N
1751952,tt0230011,1,nm0000150,actor,\N,"[""Milo""]"
1751953,tt0230011,2,nm0001815,actor,\N,"[""Cookie""]"
1751954,tt0230011,3,nm0123553,actor,\N,"[""Moliere""]"
1751955,tt0230011,4,nm0160004,actress,\N,"[""Helga""]"
1751956,tt0230011,5,nm0873779,director,\N,\N
1751957,tt0230011,6,nm0936374,director,\N,\N
1751958,tt0230011,7,nm0614742,writer,screenplay by,\N
1751959,tt0230011,8,nm0923736,writer,story by,\N
1751960,tt0230011,9,nm0007233,writer,story by,\N
1861226,tt0247638,10,nm0410773,producer,producer,\N
1861227,tt0247638,1,nm0000267,actress,\N,"[""Queen Clarisse Renaldi""]"
1861228,tt0247638,2,nm0004266,actress,\N,"[""Mia Thermopolis""]"
1861229,tt0247638,3,nm0001185,actor,\N,"[""Joe""]"
1861230,tt0247638,4,nm0000525,actress,\N,"[""Lilly Moscovitz""]"
1861231,tt0247638,5,nm0005190,director,\N,\N
1861232,tt0247638,6,nm0127690,writer,novel,\N
1861233,tt0247638,7,nm0920859,writer,screenplay,\N
1861234,tt0247638,8,nm0153744,producer,producer,\N
1861235,tt0247638,9,nm0001365,producer,producer,\N
1873953,tt0249677,10,nm0462164,writer,additional screenplay material by,\N
1873954,tt0249677,1,nm0937930,actor,\N,"[""Scamp""]"
1873955,tt0249677,2,nm0000192,actress,\N,"[""Angel""]"
1873956,tt0249677,3,nm0001590,actor,\N,"[""Buster""]"
1873957,tt0249677,4,nm0071818,actor,\N,"[""Tramp"",""Jock"",""Trusty""]"
1873958,tt0249677,5,nm0740311,director,\N,\N
1873959,tt0249677,6,nm0746013,director,co-director,\N
1873960,tt0249677,7,nm0609600,writer,screenplay by,\N
1873961,tt0249677,8,nm0744793,writer,screenplay by,\N
1873962,tt0249677,9,nm0737241,writer,additional screenplay material by,\N
1977702,tt0265632,10,nm0842858,producer,producer,\N
1977703,tt0265632,1,nm0492620,actor,\N,"[""Tj""]"
1977704,tt0265632,2,nm0172636,actor,\N,"[""Vince""]"
1977705,tt0265632,3,nm0204771,actor,\N,"[""Mikey""]"
1977706,tt0265632,4,nm0424534,actress,\N,"[""Gretchen""]"
1977707,tt0265632,5,nm0790746,director,\N,\N
1977708,tt0265632,6,nm0314480,writer,television series Recess,\N
1977709,tt0265632,7,nm0030651,writer,television series Recess,\N
1977710,tt0265632,8,nm0338537,writer,story,\N
1977711,tt0265632,9,nm0840699,producer,producer,\N
2012734,tt0271271,10,nm0551108,composer,\N,\N
2012735,tt0271271,1,nm0832653,actress,\N,"[""Zenon Kar""]"
2012736,tt0271271,2,nm0799895,actress,\N,"[""Nebula Wade""]"
2012737,tt0271271,3,nm0540767,actress,\N,"[""Margie Hammond""]"
2012738,tt0271271,4,nm0103731,actress,\N,"[""Astrid Kar""]"
2012739,tt0271271,5,nm0182873,director,\N,\N
2012740,tt0271271,6,nm0755551,writer,"book ""Zenon, Girl of the 21st Century""",\N
2012741,tt0271271,7,nm0093098,writer,"book ""Zenon, Girl of the 21st Century""",\N
2012742,tt0271271,8,nm0471217,writer,teleplay,\N
2012743,tt0271271,9,nm0349720,producer,producer,\N
