,tconst,ordering,nconst,category,job,characters
2500445,tt0345061,8,nm0385311,composer,\N,\N
2500446,tt0345061,9,nm0391794,composer,\N,\N
2646569,tt0368530,10,nm0940504,actress,\N,"[""Deb Scott"",""Deb Lee""]"
2646570,tt0368530,1,nm0614877,actor,\N,"[""Lucas Scott""]"
2646571,tt0368530,2,nm0480798,actor,\N,"[""Nathan Scott"",""Nathan Lee""]"
2646572,tt0368530,3,nm1122026,actress,\N,"[""Peyton Sawyer"",""Peyton Scott""]"
2646573,tt0368530,4,nm0502342,actress,\N,"[""Haley James Scott"",""Haley James""]"
2646574,tt0368530,5,nm0777043,writer,created by,\N
2646575,tt0368530,6,nm0124208,actress,\N,"[""Brooke Davis"",""Brooke Davis Baker""]"
2646576,tt0368530,7,nm0635851,actor,\N,"[""Marvin 'Mouth' McFadden"",""Mouth""]"
2646577,tt0368530,8,nm0424035,actor,\N,"[""Dan Scott""]"
2646578,tt0368530,9,nm0849612,actor,\N,"[""Antwon 'Skills' Taylor""]"
2924415,tt0410975,10,nm0701457,actor,\N,"[""Andrew Van De Kamp""]"
2924416,tt0410975,1,nm0000159,actress,\N,"[""Susan Mayer"",""Susan Delfino""]"
2924417,tt0410975,2,nm0005031,actress,\N,"[""Lynette Scavo""]"
2924418,tt0410975,3,nm0189220,actress,\N,"[""Bree Van De Kamp"",""Bree Hodge""]"
2924419,tt0410975,4,nm0519456,actress,\N,"[""Gabrielle Solis"",""Gabrielle Lang""]"
2924420,tt0410975,5,nm0156100,writer,created by,\N
2924421,tt0410975,6,nm0154632,actor,\N,"[""Carlos Solis""]"
2924422,tt0410975,7,nm0834947,actress,\N,"[""Mary Alice Young""]"
2924423,tt0410975,8,nm0219835,actor,\N,"[""Mike Delfino""]"
2924424,tt0410975,9,nm0767443,actor,\N,"[""Tom Scavo""]"
3099875,tt0435961,10,nm0566332,actor,\N,"[""Big Daddy"",""Deed"",""Scott""]"
3099876,tt0435961,1,nm0861558,actor,\N,"[""Brandon Heat"",""Beyond The Grave"",""Deed's Henchman #2""]"
3099877,tt0435961,2,nm0485670,actor,\N,"[""Nathan"",""Bunji Kugashira"",""\""Mad Dog\"" Ladd Carabel""]"
3099878,tt0435961,3,nm0089707,actor,\N,"[""Ballardbird Lee"",""Escort"",""Lightning Thug #3""]"
3099879,tt0435961,4,nm0741398,actress,\N,"[""Maria Asagi"",""Young Harry""]"
3099880,tt0435961,5,nm0631488,writer,creator,\N
3099881,tt0435961,6,nm0082507,actor,\N,"[""Bear Walken""]"
3099882,tt0435961,7,nm0292823,actor,\N,"[""'Dr. T' Doctor Tokioka, Butler Tokioka"",""'Dr. T' Doctor Tokioka"",""Butler Tokioka""]"
3099883,tt0435961,8,nm0031407,actor,\N,"[""Harry MacDowel - 20's""]"
3099884,tt0435961,9,nm0422849,actor,\N,"[""Alzac Tino"",""Bob Poundmax #2"",""Descartes Henchman #1""]"
3268815,tt0460627,10,nm0006970,actress,\N,"[""Caroline Julian""]"
3268816,tt0460627,1,nm0221043,actress,\N,"[""Temperance Brennan""]"
3268817,tt0460627,2,nm0004770,actor,\N,"[""Seeley Booth""]"
3268818,tt0460627,3,nm0174819,actress,\N,"[""Angela Montenegro""]"
3268819,tt0460627,4,nm0862328,actor,\N,"[""Jack Hodgins""]"
3268820,tt0460627,5,nm0361274,writer,created by,\N
3268821,tt0460627,6,nm0853231,actress,\N,"[""Camille Saroyan""]"
3268822,tt0460627,7,nm0197855,actor,\N,"[""Lance Sweets""]"
3268823,tt0460627,8,nm1090644,actor,\N,"[""Zack Addy""]"
3268824,tt0460627,9,nm1668372,actor,\N,"[""James Aubrey""]"
3281468,tt0462499,10,nm0003911,composer,\N,\N
3281469,tt0462499,1,nm0000230,actor,\N,"[""John Rambo""]"
3281470,tt0462499,2,nm0004748,actress,\N,"[""Sarah""]"
3281471,tt0462499,3,nm0550452,actor,\N,"[""School Boy""]"
3281472,tt0462499,4,nm0574615,actor,\N,"[""Lewis""]"
3281473,tt0462499,5,nm0599393,writer,written by,\N
3281474,tt0462499,6,nm0606251,writer,character,\N
3281475,tt0462499,7,nm0503592,producer,producer,\N
3281476,tt0462499,8,nm0854772,producer,producer,\N
3281477,tt0462499,9,nm0860315,producer,producer,\N
3463682,tt0490668,10,nm0936061,producer,producer,\N
3463683,tt0490668,1,nm0319308,actress,\N,"[""Wysteria"",""Minty""]"
3463684,tt0490668,2,nm0419403,actress,\N,"[""Pinky Pie"",""Ladybug"",""Breezie #3""]"
3463685,tt0490668,3,nm0571741,actress,\N,"[""Tra La La""]"
3463686,tt0490668,4,nm0141446,actress,\N,"[""Sunny Daze""]"
3463687,tt0490668,5,nm0155037,director,\N,\N
3463688,tt0490668,6,nm0738899,writer,\N,\N
3463689,tt0490668,7,nm9261564,writer,creator,\N
3463690,tt0490668,8,nm1896625,producer,producer,\N
3463691,tt0490668,9,nm1416404,producer,producer,\N
5651584,tt0758745,10,nm0213897,actor,\N,"[""Mac McGill"",""Coach Mac McGill""]"
5651585,tt0758745,1,nm0151419,actor,\N,"[""Eric Taylor""]"
5651586,tt0758745,2,nm0110168,actress,\N,"[""Tami Taylor""]"
5651587,tt0758745,3,nm1472917,actor,\N,"[""Matt Saracen""]"
5651588,tt0758745,4,nm1631435,actress,\N,"[""Julie Taylor""]"
5651589,tt0758745,5,nm0000916,writer,developed for television by,\N
5651590,tt0758745,6,nm0500894,actor,\N,"[""Buddy Garrity""]"
5651591,tt0758745,7,nm2018237,actor,\N,"[""Tim Riggins""]"
5651592,tt0758745,8,nm0687146,actor,\N,"[""Landry Clarke""]"
5651593,tt0758745,9,nm2208749,actor,\N,"[""Billy Riggins""]"
5878905,tt0791205,10,nm1365137,actor,\N,"[""Raul Creed"",""Guest 2"",""Rioter""]"
5878906,tt0791205,1,nm1289399,actor,\N,"[""Vincent Law""]"
5878907,tt0791205,2,nm0944985,actress,\N,"[""Pino""]"
5878908,tt0791205,3,nm1240448,actor,\N,"[""Vincent Law""]"
5878909,tt0791205,4,nm1454681,actress,\N,"[""Pino""]"
5878910,tt0791205,5,nm2226321,actress,\N,"[""Re-l Mayer""]"
5878911,tt0791205,6,nm0391125,actress,\N,"[""Re-l Mayer""]"
5878912,tt0791205,7,nm0043552,actor,\N,"[""Additional Voices"",""Outsider D"",""Soldier A""]"
5878913,tt0791205,8,nm1058720,actress,\N,"[""Daedalus Yumeno"",""Dorothy""]"
5878914,tt0791205,9,nm0523180,actor,\N,"[""Daedelus Yumeno"",""Daedalus Yumeno"",""AR Disposal Unit Employee C""]"
6002298,tt0808151,10,nm0004976,producer,producer,\N
6002299,tt0808151,1,nm0000158,actor,\N,"[""Robert Langdon""]"
6002300,tt0808151,2,nm0000191,actor,\N,"[""Camerlengo Patrick McKenna""]"
6002301,tt0808151,3,nm0957909,actress,\N,"[""Vittoria Vetra""]"
6002302,tt0808151,4,nm0001745,actor,\N,"[""Commander Richter""]"
6002303,tt0808151,5,nm0000165,director,\N,\N
6002304,tt0808151,6,nm0462895,writer,screenplay,\N
6002305,tt0808151,7,nm0326040,writer,screenplay,\N
6002306,tt0808151,8,nm1467010,writer,novel,\N
6002307,tt0808151,9,nm0130492,producer,producer,\N
7206513,tt0974613,10,nm0778597,producer,producer,\N
7206514,tt0974613,1,nm0000553,actor,\N,"[""Peter""]"
7206515,tt0974613,2,nm0000104,actor,\N,"[""Rafe""]"
7206516,tt0974613,3,nm0001473,actress,\N,"[""Lisa""]"
7206517,tt0974613,4,nm0304801,actress,\N,"[""Abigail""]"
7206518,tt0974613,5,nm0264236,director,\N,\N
7206519,tt0974613,6,nm0939606,writer,screenplay,\N
7206520,tt0974613,7,nm0772384,writer,short story,\N
7206521,tt0974613,8,nm0230361,producer,producer,\N
7206522,tt0974613,9,nm0237819,producer,producer,\N
13438457,tt11794642,10,nm0302466,actor,\N,"[""Sheriff Walter Tubb""]"
13438458,tt11794642,1,nm0935395,actress,\N,"[""Jenny Hoyt""]"
13438459,tt11794642,2,nm3954896,actress,\N,"[""Cassie Dewell""]"
13438460,tt11794642,3,nm0679410,actress,\N,"[""Denise Brisbane""]"
13438461,tt11794642,4,nm1310016,actor,\N,"[""Ronald Pergman""]"
13438462,tt11794642,5,nm0005082,writer,created by,\N
13438463,tt11794642,6,nm2837093,actress,\N,"[""Scarlet Leyendecker""]"
13438464,tt11794642,7,nm5740850,actress,\N,"[""Jerrie Kennedy""]"
13438465,tt11794642,8,nm1272540,actor,\N,"[""Mark Lindor""]"
13438466,tt11794642,9,nm0002253,actor,\N,"[""Wolfgang Legarski"",""Rick Legarski""]"
13808170,tt1191056,10,nm2942806,self,\N,"[""Self""]"
13808171,tt1191056,1,nm2942070,self,\N,"[""Self""]"
13808182,tt1191056,2,nm2942487,self,\N,"[""Self""]"
13808183,tt1191056,3,nm2114006,self,\N,"[""Self"",""Self - Narrator""]"
13808184,tt1191056,4,nm1132273,self,\N,"[""Self""]"
13808185,tt1191056,5,nm0242472,writer,conceived by,\N
13808186,tt1191056,6,nm7381064,self,\N,"[""Self""]"
13808187,tt1191056,7,nm5070645,self,\N,"[""Self""]"
13808188,tt1191056,8,nm5070315,self,\N,"[""Self""]"
13808189,tt1191056,9,nm3148203,self,\N,"[""Self""]"
14455744,tt1213012,10,nm0723704,producer,producer,\N
14455745,tt1213012,1,nm0659363,actress,\N,"[""Kate""]"
14455756,tt1213012,2,nm0000207,actress,\N,"[""Lilly""]"
14455757,tt1213012,3,nm0519043,actor,\N,"[""Humphrey""]"
14455768,tt1213012,4,nm0000454,actor,\N,"[""Tony""]"
14455769,tt1213012,5,nm0068034,director,\N,\N
14455780,tt1213012,6,nm0994310,director,\N,\N
14455781,tt1213012,7,nm1558946,writer,based on a story by,\N
14455792,tt1213012,8,nm0219270,writer,screenplay by,\N
14455793,tt1213012,9,nm0441546,producer,producer,\N
14988774,tt12306692,10,nm8610597,actor,\N,"[""Rubberman"",""Dangling Feral""]"
14988775,tt12306692,1,nm2811823,actress,\N,"[""Scarlett""]"
14988776,tt12306692,2,nm1336920,actress,\N,"[""Maya""]"
